priority,address_id,territory,street,house_number,destination_lat,destination_lon,router_distance_km,router_duration_min,snap_distance_m,detour_factor,coverage_level,best_control_id,anomaly_reasons,expected_information_gain,recommended_manual_action,owner_review_required
MEDIUM,n11222053152,Протягайловка,Славянская улица,10,46.84806,29.43703,7.9399,10.155,19.23,1.797,WEAK_COVERAGE,MY-004,ROUTE_STREET_LOOP;WEAK_COVERAGE,extends a partially covered local branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2321749386,Гиска,улица Суворова,62,46.79275,29.4535,4.7512,5.457,17.31,1.150,STRONG_COVERAGE,MY-015,STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;STRONG_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2321749387,Гиска,улица Ленина,17,46.79169,29.45193,4.7197,5.497,23.73,1.099,PARTIAL_COVERAGE,MY-015,LOCAL_CORRIDOR_DISCONTINUITY;PARTIAL_COVERAGE;SNAPPED_STREET_NAME_MISMATCH;UNIQUE_TERMINAL_BRANCH,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,n2321749390,Гиска,улица Интернационалистов,2,46.79213,29.45135,4.6959,5.380,8.19,1.097,WEAK_COVERAGE,MY-078,SNAPPED_STREET_NAME_MISMATCH;WEAK_COVERAGE,extends a partially covered local branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2321749391,Гиска,улица Суворова,75,46.79225,29.45278,4.6961,5.448,22.10,1.116,STRONG_COVERAGE,MY-015,STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;STRONG_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,n2321749393,Гиска,улица Суворова,23,46.79257,29.4577,5.0681,5.798,35.45,1.272,STRONG_COVERAGE,MY-015,DESTINATION_SNAP_GT30M;STRONG_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2321749410,Гиска,улица Ленина,21,46.79099,29.45131,4.7944,5.382,35.99,1.093,STRONG_COVERAGE,MY-012,DESTINATION_SNAP_GT30M;STRONG_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2321749412,Гиска,улица Ленина,49,46.788,29.44903,5.1762,5.800,31.93,1.088,STRONG_COVERAGE,MY-012,DESTINATION_SNAP_GT30M;STRONG_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2321749418,Гиска,улица Гоголя,59,46.79076,29.45722,5.4940,6.748,8.05,1.315,WEAK_COVERAGE,MY-015,LOCAL_CORRIDOR_DISCONTINUITY;UNIQUE_TERMINAL_BRANCH;WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2321749420,Гиска,Молодёжная улица,19,46.78775,29.45124,5.5564,6.668,12.27,1.184,WEAK_COVERAGE,MY-012,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2321749422,Гиска,Молодёжная улица,21,46.78798,29.45183,5.6095,6.797,12.98,1.207,WEAK_COVERAGE,MY-012,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2321749424,Гиска,Молодёжная улица,48,46.78974,29.45634,5.6228,7.058,1.94,1.305,WEAK_COVERAGE,MY-015,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
CRITICAL,n2321749431,Гиска,улица Ленина,59,46.78737,29.4486,5.2532,5.885,25.10,1.086,STRONG_COVERAGE,MY-012,ADDRESS_ANCHOR_DISAGREEMENT,tests an unresolved failure or unique network branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,n2321749432,Гиска,Молодёжная улица,61,46.78673,29.44846,5.3224,6.107,40.11,1.086,WEAK_COVERAGE,MY-012,DESTINATION_SNAP_GT30M;WEAK_COVERAGE,extends a partially covered local branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,n2321749433,Гиска,улица Ленина,71,46.78582,29.44779,5.4656,6.160,30.31,1.090,STRONG_COVERAGE,MY-012,DESTINATION_SNAP_GT30M;STRONG_COVERAGE,extends a partially covered local branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2321749435,Гиска,улица Ленина,75,46.78487,29.44695,5.6383,6.562,11.66,1.097,WEAK_COVERAGE,MY-012,SNAPPED_STREET_NAME_MISMATCH;WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2321749439,Гиска,улица Мира,82,46.78503,29.44757,5.5594,6.442,2.83,1.091,WEAK_COVERAGE,MY-049,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2321749440,Гиска,улица Мира,80,46.78523,29.4481,5.5590,6.408,7.94,1.099,WEAK_COVERAGE,MY-049,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2321749441,Гиска,улица Мира,93,46.78498,29.44848,5.5763,6.435,27.38,1.101,WEAK_COVERAGE,MY-049,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2321749442,Гиска,улица Мира,95,46.78472,29.44777,5.5758,6.425,23.31,1.089,STRONG_COVERAGE,MY-007,LOCAL_CORRIDOR_DISCONTINUITY;STRONG_COVERAGE;UNIQUE_TERMINAL_BRANCH,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2321749444,Гиска,улица Ленина,101,46.78455,29.44714,5.6427,6.578,26.04,1.093,WEAK_COVERAGE,MY-008,SNAPPED_STREET_NAME_MISMATCH;WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2321749446,Гиска,улица Мира,30а,46.78759,29.45519,6.1753,7.358,11.26,1.354,WEAK_COVERAGE,MY-049,STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;WEAK_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2321749447,Гиска,Госпитальная улица,53,46.78711,29.45501,6.1340,7.335,20.62,1.329,UNCOVERED,MY-012,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2321749451,Гиска,улица 60 лет Октября,2,46.78447,29.44893,5.6964,6.810,10.10,1.118,WEAK_COVERAGE,MY-007,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2321749452,Гиска,улица 60 лет Октября,1,46.78408,29.44908,5.6868,6.787,33.75,1.109,WEAK_COVERAGE,MY-007,DESTINATION_SNAP_GT30M;WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2321749453,Гиска,улица 60 лет Октября,28,46.78641,29.45432,6.2552,7.657,12.41,1.329,UNCOVERED,MY-012,STREET_DISTANCE_CONTINUITY_OUTLIER;UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2321749454,Гиска,улица 60 лет Октября,39,46.78606,29.45462,6.2480,7.640,32.11,1.320,UNCOVERED,MY-012,DESTINATION_SNAP_GT30M;UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2321749460,Гиска,улица Бориса Главана,6,46.78389,29.44792,5.7248,6.812,11.14,1.103,WEAK_COVERAGE,MY-007,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2321749462,Гиска,улица Бориса Главана,7,46.78356,29.44818,5.7221,6.805,30.58,1.098,WEAK_COVERAGE,MY-007,DESTINATION_SNAP_GT30M;WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
CRITICAL,n2321749463,Гиска,улица Бориса Главана,27,46.78277,29.44638,5.8600,6.733,38.50,1.093,STRONG_COVERAGE,MY-007,DESTINATION_SNAP_GT30M;SETTLEMENT_DISAGREEMENT,tests an unresolved failure or unique network branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
CRITICAL,n2321749464,Гиска,улица Бориса Главана,22а,46.78254,29.44565,5.8633,6.740,22.74,1.084,STRONG_COVERAGE,MY-006,ADDRESS_ANCHOR_DISAGREEMENT;STREET_NAME_VARIANT,tests an unresolved failure or unique network branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
