repair_id,control_ids,district,root_cause,affected_nodes,affected_edges,affected_streets,before_router_km,yandex_km,proposed_change,implemented_change,confidence,regression_risk,status,notes
RRA-001,MY-002,Борисовка,ADDRESS_ANCHOR_AMBIGUOUS,346864409;2334338355;3221451783,none identified,Кишинёвская улица,6.5654,4.8280,Owner must reconcile our house 1 with Yandex label house 13,none,HIGH,HIGH,ADDRESS_REVIEW_REQUIRED,The router reaches the supplied coordinate legally; changing graph connectivity would not repair the conflicting address label
RRA-002,MY-X01,Борисовка,ROUTER_CHOOSES_DIFFERENT_VALID_ROUTE,457637388;517234914;6807662286,none identified,Кишинёв-Тирасполь; улица Титова,3.5099,4.5384,Keep both legal corridors and do not force the longer Yandex detour,none,HIGH,HIGH,NO_GRAPH_DEFECT_FOUND,Extra landmark control; both routes use the northern corridor but Yandex makes a longer loop
RRA-003,MY-X02,Хомутяновка,ADDRESS_ANCHOR_AMBIGUOUS,3585608293;6367515248;514211062,none identified,улица Суворова; Московская улица,0.4470,0.5633,Owner must reconcile Московская 42 with Yandex улица Суворова 42,none,HIGH,HIGH,ADDRESS_REVIEW_REQUIRED,No routing mutation is justified by a conflicting destination label
RRA-004,MY-018;MY-019;MY-020,Гиска,ADDRESS_ANCHOR_AMBIGUOUS,1303507101;1303506415;950490820;2315990668,none identified,улица Суворова; улица 40 лет МССР,3.6598;3.7429;3.7540,5.1499;4.9890;4.9890,Owner must resolve street and house anchors before route comparison,none,HIGH,HIGH,ADDRESS_REVIEW_REQUIRED,Yandex labels the controls on 40 лет МССР while our addresses are on Суворова
RRA-005,MY-005,Гиска,ROUTER_CHOOSES_DIFFERENT_VALID_ROUTE,12541704219;12541704221;12541704223,none identified,Коммунистическая улица; улица Ленина; Первомайская улица; Студенческая улица,4.6932,4.0716,Inspect vendor speed assumptions only if independent travel-time evidence becomes available,none,MEDIUM,HIGH,NO_GRAPH_DEFECT_FOUND,Both street chains are connected and reach the same address; no access or topology failure was observed
RRA-006,MY-054,Протягайловка,ROUTER_CHOOSES_DIFFERENT_VALID_ROUTE,760367282;760367168;3583919643,none identified,Протягайловская улица; Гербовецкая улица; Главная улица; Главный переулок,6.4612,5.6327,Review speed and access tags on the Yandex corridor against an independent source,none,MEDIUM,HIGH,NO_GRAPH_DEFECT_FOUND,The graph already contains both corridors; street presence alone is not evidence for a weight change
RRA-007,MY-063,Хомутяновка,ROUTER_CHOOSES_DIFFERENT_VALID_ROUTE,6782017652;3330066658;2337982000,none identified,Панина; Р2; Ермакова; Титова; Кишинёвская улица; Деповская улица,7.4577,5.7936,Keep both legal northern and southern paths; review vendor time weights separately,none,MEDIUM,HIGH,NO_GRAPH_DEFECT_FOUND,Yandex chooses the northern rail corridor while OSRM chooses the southern legal corridor
RRA-008,MY-065,Хомутяновка,ROUTER_CHOOSES_DIFFERENT_VALID_ROUTE,4004122794;4004122793;4004122792,none identified,улица Академика Фёдорова; Коммунистическая улица; Московская улица,1.3123,1.4645,No change; divergence is small and both approaches are connected,none,HIGH,MEDIUM,NO_GRAPH_DEFECT_FOUND,Forcing Академика Фёдорова would be an unsafe corridor override
RRA-009,MY-073,Хомутяновка,ROUTER_CHOOSES_DIFFERENT_VALID_ROUTE,517407672;1017871035;4016890684,none identified,Комсомольская улица; Коммунистическая улица; Московская улица; улица Дзержинского,1.2567,1.6898,No change; preserve the shorter legal router path,none,HIGH,HIGH,NO_GRAPH_DEFECT_FOUND,Yandex and OSRM use different connected approaches to the same coordinate
RRA-010,MY-075,Хомутяновка,ADDRESS_ANCHOR_AMBIGUOUS,2315990604;6367865573;2337407447,none identified,улица Ечина; улица Георге Асаке; улица Мичурина,3.0020,3.9107,Owner must provide a house or landmark anchor for the street-only control,none,HIGH,HIGH,ADDRESS_REVIEW_REQUIRED,The supplied coordinate lies on Ечина while Yandex leaves and returns to the same street
RRA-011,MY-071,Хомутяновка,WRONG_DESTINATION_SNAP,514211030;2331575318;2317010211,none identified,улица Георге Асаке,2.4511,2.6232,Review the address point because the nearest routable segment is more than 60 m away,none,HIGH,HIGH,ADDRESS_REVIEW_REQUIRED,No synthetic connector may be added between the address point and the road
