path,purpose,format,exists,size_bytes,sha256,raw_or_generated,provenance,relation_to_canonical,reproducible
reports/stage-01/source-audit.md,Stage-01 OSM source audit (PBF + 2 brief boundary candidates),md,True,5611,833817798c88ded25939613dbca8836a83b1559828449850f8b272cd574d678f,generated,stage-01 pipeline over Moldova PBF,analysis-only; not production,True
reports/stage-01/source-audit.json,Machine-readable stage-01 audit (candidate tags/metrics),json,True,8004,0f70131798ff3771537353686e10d896819849a0580574190486c3f2486eb71f,generated,stage-01 pipeline,analysis-only; not production,True
config/boundary-candidates.yml,"Brief boundary candidate ids (9581354, 944727) — inspect only",yml,True,1369,20613af883a1be3787ada1ab48ded0f20628ed1805eda34e21233bd8568c9b53,raw,project brief,analysis-only; not production,True
docs/data/source-boundaries.geojson,Repo provisional Bender boundary (relation 12463379),geojson,True,16867,d04979a6e2fe0525968b297d82cf97e406a083116290ad190c7517d77d41f257,generated,earlier stage; provisional proxy,analysis-only; not production,True
docs/data/settlements.geojson,Settlement polygons Парканы/Гиска/Протягайловка/Бендеры,geojson,True,99182,7e1ab3c9544a5ba0f8d2336f9194e22278385a332083875bee0b950e22d3edd5,generated,OSM-derived,analysis-only; not production,True
docs/data/restaurant-origins.geojson,3 confirmed restaurant origins (central/bam/outer) for routing,geojson,True,9082,0da801e9a1f6aa18320d1749a0d341db590f31b44af735431456e3c911254f84,generated,stage-09 engine,analysis-only; not production,True
docs/data/severny-service-area.geojson,Северный candidate residential footprint (owner_review),geojson,True,10993,14bf83b49a3b7a30cac05361090468a739c247dbe07eeb7050b373a858c2d5de,generated,severny footprint stage,analysis-only; not production,True
docs/data/severny-delivery-units.geojson,57 Северный delivery units with central_km,geojson,True,38115,ea500d966b4ffc4367b647ae4dbbcd3d7bb4bfa404d0679b72a6380f7b7d3fba,generated,severny stage,analysis-only; not production,True
data/interim/external-tariff-boundary-anchors-v1.csv,"External tariff anchors incl. пост ГАИ Котовского (no coords, UNPROVEN)",csv,True,1182,5c55a95170a1f7cb2b722c0175b4da26286bb6d085c25f6c3508a85c049761e1,generated,owner brief + GIS review,analysis-only; not production,True
data/interim/osm-boundaries/boundary-extraction-provenance.json,Provenance of the 3 freshly-extracted OSM geometries,json,True,8711,af2235bab465b3a70a808c61056ec68183225f10611ab52b0be321323aae9a71,generated,scripts/extract_osm_boundaries.py via Overpass,analysis-only; not production,True
data/interim/osm-boundaries/relation-12463379.geojson,Extracted geometry r12463379 (level 8),geojson,True,35874,2df13ada7b098fdc841feeaa6fe4fefe8f281a8f5b2e3ba5eeb26ac33d0e4f98,generated,Overpass out geom,analysis-only; not production,True
data/interim/osm-boundaries/relation-9581354.geojson,Extracted geometry r9581354 (level 4),geojson,True,32040,cac2eb437855c9e0cff4dac1605b3f44e2fba646d6456f2daf52eebc8a2998a9,generated,Overpass out geom,analysis-only; not production,True
data/interim/osm-boundaries/relation-944727.geojson,Extracted geometry r944727 (level 5),geojson,True,45897,cf5819572e1c6fb230342b41f7ae6ac925de1e1c277d28fc69e43e4008f8189c,generated,Overpass out geom,analysis-only; not production,True
data/interim/route-pilot/route-pilot-summary-v1.json,30-address pilot summary (alt-provider comparison),json,True,1777,71768c3419423a31e1a8ce74951b75cc15c339bc669685519b3c4bf86518df25,generated,scripts/route_pilot.py via OSRM demo,analysis-only; not production,True
