candidate_id,facility_category,facility_name,recovered_address,yandex_status,canonical_duplicate_status,address_conflict,operational_status,independent_delivery_destination,recommended_owner_decision,confidence,evidence_summary,notes
REC-001,RETAIL,Нистру,Тираспольское шоссе 33,DIFFERENT_HOUSE_NUMBER,NO_CANONICAL_DUPLICATE,HOUSE_NUMBER_CONFLICT,UNKNOWN,False,HOLD_ADDRESS_CONFLICT,HIGH,"Recovered from the pinned PBF; visible Yandex review: DIFFERENT_HOUSE_NUMBER; Тираспольское шоссе, 35, село Парканы, Слободзейский район, Приднестровье",Recommendation only; no canonical release change and final owner decision remains required.
REC-002,RETAIL,Виктория,Парканы улица Карла Маркса 1a,FACILITY_MATCH_WITH_ADDRESS,NO_CANONICAL_DUPLICATE,NONE,ACTIVE_NOT_CONTRADICTED,True,APPROVE_FOR_FUTURE_RELEASE,HIGH,"Recovered from the pinned PBF; visible Yandex review: FACILITY_MATCH_WITH_ADDRESS; Магазин Виктория — село Парканы, ул. Карла Маркса, 1А",Recommendation only; no canonical release change and final owner decision remains required.
REC-008,MEDICAL,Фармпункт №15,Парканы улица Карла Маркса 1а,DUPLICATE_EXISTING_ADDRESS,DUPLICATE_CANONICAL_ADDRESS,NONE,ACTIVE_NOT_CONTRADICTED,True,REJECT_DUPLICATE,HIGH,"Recovered from the pinned PBF; visible Yandex review: DUPLICATE_EXISTING_ADDRESS; улица Карла Маркса, 1А; Аптека inside the house",Recommendation only; no canonical release change and final owner decision remains required.
REC-009,OFFICE,Национальный Методологический Ресурсный Центр по Правам Человека,Парканы Тираспольское шоссе 25,NEARBY_ADDRESS_ONLY,NO_CANONICAL_DUPLICATE,NEARBY_ONLY,UNKNOWN,Unknown,HOLD_INSUFFICIENT_EVIDENCE,MEDIUM,"Recovered from the pinned PBF; visible Yandex review: NEARBY_ADDRESS_ONLY; Тираспольское шоссе, 25, село Парканы, Слободзейский район, Приднестровье",Recommendation only; no canonical release change and final owner decision remains required.
REC-013,FOOD_SERVICE,Авеню,Бендеры улица Ленина 20a,FACILITY_MATCH_WITH_ADDRESS,NO_CANONICAL_DUPLICATE,NONE,ACTIVE_NOT_CONTRADICTED,True,APPROVE_FOR_FUTURE_RELEASE,HIGH,"Recovered from the pinned PBF; visible Yandex review: FACILITY_MATCH_WITH_ADDRESS; Авеню — Бендеры, ул. Ленина, 20А",Recommendation only; no canonical release change and final owner decision remains required.
REC-016,RETAIL,Квинт-Маркет,Бендеры Советская улица 23,NEARBY_ADDRESS_ONLY,NO_CANONICAL_DUPLICATE,NEARBY_ONLY,UNKNOWN,Unknown,HOLD_INSUFFICIENT_EVIDENCE,MEDIUM,"Recovered from the pinned PBF; visible Yandex review: NEARBY_ADDRESS_ONLY; Советская улица, 23, Бендеры, Приднестровье",Recommendation only; no canonical release change and final owner decision remains required.
REC-017,INDUSTRIAL,"ОАО ""Флоаре""",Бендеры ул. Коммунистическая 181,DIFFERENT_HOUSE_NUMBER,NO_CANONICAL_DUPLICATE,HOUSE_NUMBER_CONFLICT,ACTIVE_NOT_CONTRADICTED,Unknown,HOLD_ADDRESS_CONFLICT,HIGH,"Recovered from the pinned PBF; visible Yandex review: DIFFERENT_HOUSE_NUMBER; Коммунистическая улица, 187А, Бендеры, Приднестровье",Recommendation only; no canonical release change and final owner decision remains required.
REC-018,INDUSTRIAL,Шериф,Бендеры Индустриальная улица 12/3,FACILITY_MATCH_WITH_ADDRESS,NO_CANONICAL_DUPLICATE,NONE,ACTIVE_NOT_CONTRADICTED,True,APPROVE_FOR_FUTURE_RELEASE,HIGH,"Recovered from the pinned PBF; visible Yandex review: FACILITY_MATCH_WITH_ADDRESS; Шериф-17 — Бендеры, Индустриальная ул., 12/3",Recommendation only; no canonical release change and final owner decision remains required.
REC-020,INDUSTRIAL,Гарант,Бендеры Индустриальная улица 35,FACILITY_MATCH_WITH_ADDRESS,NO_CANONICAL_DUPLICATE,NONE,CLOSED_LABEL_VISIBLE,True,HOLD_OPERATIONAL_STATUS,HIGH,"Recovered from the pinned PBF; visible Yandex review: FACILITY_MATCH_WITH_ADDRESS; Гарант — Бендеры, Индустриальная ул., 35",Recommendation only; no canonical release change and final owner decision remains required.
REC-021,RETAIL,Клеймс,Советская улица 29а,DIFFERENT_HOUSE_NUMBER,NO_CANONICAL_DUPLICATE,HOUSE_NUMBER_CONFLICT,ACTIVE_NOT_CONTRADICTED,Unknown,HOLD_ADDRESS_CONFLICT,HIGH,"Recovered from the pinned PBF; visible Yandex review: DIFFERENT_HOUSE_NUMBER; Советская улица, 31, Бендеры, Приднестровье",Recommendation only; no canonical release change and final owner decision remains required.
